   0.0000e+00	   1.0080e-01	   1.9134e+00	   6.2000e-02	   7.9000e-03	   7.4900e-02	
   2.0000e+00	   4.3450e-01	   8.0500e-02	   4.4790e-01	   1.1000e-02	   1.2400e-02	
   4.0000e+00	   4.8110e-01	   7.9100e-02	   3.0450e-01	   1.0200e-02	   1.7300e-02	
   6.0000e+00	   4.1140e-01	   7.3400e-02	   2.5340e-01	   1.3300e-02	   2.6600e-02	
   8.0000e+00	   3.9560e-01	   9.9000e-02	   2.5690e-01	   1.1600e-02	   2.9400e-02	
   1.0000e+01	   3.7140e-01	   7.2400e-02	   2.7360e-01	   1.2500e-02	   3.7800e-02	
   1.2000e+01	   3.9950e-01	   7.8200e-02	   2.5610e-01	   1.3000e-02	   2.5700e-02	
   1.4000e+01	   4.4770e-01	   7.5200e-02	   2.2680e-01	   1.1200e-02	   3.3200e-02	
   1.6000e+01	   4.1900e-01	   8.5300e-02	   2.0860e-01	   1.2100e-02	   3.0500e-02	
   1.8000e+01	   3.5400e-01	   7.2500e-02	   2.3750e-01	   1.2100e-02	   2.9600e-02	
   2.0000e+01	   3.6900e-01	   7.8100e-02	   2.5390e-01	   1.2800e-02	   3.4200e-02	
   2.2000e+01	   4.3450e-01	   1.1950e-01	   4.8950e-01	   1.6900e-02	   2.5800e-02	
   2.4000e+01	   3.1830e-01	   1.1780e-01	   4.5610e-01	   1.4700e-02	   1.7600e-02	
   2.6000e+01	   3.7670e-01	   1.0990e-01	   4.6730e-01	   1.7300e-02	   1.8700e-02	
   2.8000e+01	   3.4890e-01	   1.2430e-01	   5.3580e-01	   1.4400e-02	   1.5200e-02	
   3.0000e+01	   4.0190e-01	   1.2490e-01	   5.9610e-01	   1.4900e-02	   1.5600e-02	
   3.2000e+01	   2.0230e-01	   4.0300e-02	   1.3570e-01	   6.7000e-03	   3.1900e-02	
   3.4000e+01	   1.5950e-01	   7.0300e-02	   1.5840e-01	   8.9000e-03	   4.3200e-02	
   3.6000e+01	   1.0680e-01	   6.9100e-02	   1.8730e-01	   1.2100e-02	   4.1800e-02	
   3.8000e+01	   8.6800e-02	   9.3300e-02	   2.8600e-01	   1.3800e-02	   2.9600e-02	
   4.0000e+01	   1.0470e-01	   8.9300e-02	   3.4340e-01	   1.3500e-02	   3.2200e-02	
   4.2000e+01	   9.6700e-02	   1.0000e-01	   4.4080e-01	   1.5200e-02	   2.6700e-02	
   4.4000e+01	   7.1400e-02	   9.6500e-02	   4.7670e-01	   1.6100e-02	   2.2500e-02	
   4.6000e+01	   9.1600e-02	   1.1220e-01	   5.1630e-01	   1.8000e-02	   2.2200e-02	
   4.8000e+01	   9.9200e-02	   1.2340e-01	   5.6750e-01	   1.6500e-02	   1.8900e-02	
   5.0000e+01	   8.7700e-02	   1.1800e-01	   5.3990e-01	   1.8100e-02	   2.0200e-02	
   5.2000e+01	   7.6600e-02	   1.1330e-01	   5.8510e-01	   1.7700e-02	   1.7600e-02	
   5.4000e+01	   7.4700e-02	   1.1960e-01	   6.0620e-01	   1.5700e-02	   1.5700e-02	
   5.6000e+01	   7.6900e-02	   1.2560e-01	   5.4430e-01	   1.2800e-02	   2.0500e-02	
   5.8000e+01	   7.8600e-02	   1.2690e-01	   6.3990e-01	   1.4300e-02	   1.5400e-02	
   6.0000e+01	   7.8100e-02	   1.1380e-01	   6.0200e-01	   1.2700e-02	   1.4200e-02	
